date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:03:08	21558/21558	---M--	200	added ('OK')	text/html	date:Sun,%2029%20Nov%202020%2008:03:07%20GMT	http://localhost/grav/de/unliebsamer-mitarbeiter-entlassen	C:/Users/styss/Documents/Code/Httrack-projects/grav/localhost/grav/de/unliebsamer-mitarbeiter-entlassen.html	(from http://localhost/grav/de)
09:03:08	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2029%20Nov%202020%2008:03:08%20GMT	http://localhost/grav/de/footer/	C:/Users/styss/Documents/Code/Httrack-projects/grav/localhost/grav/de/footer/index.html	(from http://localhost/grav/de)
09:03:09	1481/1481	---M--	200	added ('OK')	application/javascript	etag:%225c9-5af9ad4688fc0%22	http://localhost/grav/user/themes/quark/js/site.js	C:/Users/styss/Documents/Code/Httrack-projects/grav/localhost/grav/user/themes/quark/js/site.js	(from http://localhost/grav/de)
09:03:09	2698/2698	---M--	200	added ('OK')	application/javascript	etag:%22a8a-5af9ad4688fc0%22	http://localhost/grav/user/themes/quark/js/jquery.treemenu.js	C:/Users/styss/Documents/Code/Httrack-projects/grav/localhost/grav/user/themes/quark/js/jquery.treemenu.js	(from http://localhost/grav/de)
09:03:09	28759/28759	---M-Z	200	added ('OK')	text/css	etag:%221544639720%22	http://maxcdn.bootstrapcdn.com/font-awesome/4.6.1/css/font-awesome.min.css	C:/Users/styss/Documents/Code/Httrack-projects/grav/maxcdn.bootstrapcdn.com/font-awesome/4.6.1/css/font-awesome.min.css	(from http://localhost/grav/user/themes/mytheme/css/custom.css)
09:03:17	85578/85578	---M--	200	added ('OK')	application/javascript	etag:%2214e4a-5b114b81e2980%22	http://localhost/grav/system/assets/jquery/jquery-2.x.min.js	C:/Users/styss/Documents/Code/Httrack-projects/grav/localhost/grav/system/assets/jquery/jquery-2.x.min.js	(from http://localhost/grav/de)
09:03:30	76372/76372	---M--	200	added ('OK')	font/woff2	etag:%2212a54-5af9ad4688fc0%22	http://localhost/grav/user/themes/quark/fonts/line-awesome.woff2?v=4.7.0	C:/Users/styss/Documents/Code/Httrack-projects/grav/localhost/grav/user/themes/quark/fonts/line-awesome3e6e.woff2	(from http://localhost/grav/user/themes/quark/css/line-awesome.min.css)
09:03:31	150691/150691	---M--	200	added ('OK')	image/jpeg	etag:%2224ca3-5b52b943ec0c0%22	http://localhost/grav/user/pages/01.blog/photo-1551221236-6f908cc5838a.jpg	C:/Users/styss/Documents/Code/Httrack-projects/grav/localhost/grav/user/pages/01.blog/photo-1551221236-6f908cc5838a.jpg	(from http://localhost/grav/de)
09:03:44	213245/213245	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22340fd-5af9ad4688fc0%22	http://localhost/grav/user/themes/quark/fonts/line-awesome.eot?v=4.7.0	C:/Users/styss/Documents/Code/Httrack-projects/grav/localhost/grav/user/themes/quark/fonts/line-awesome3e6e.eot	(from http://localhost/grav/user/themes/quark/css/line-awesome.min.css)
09:03:44	454401/454401	---M--	200	added ('OK')	image/svg+xml	etag:%226ef01-5af9ad4688fc0%22	http://localhost/grav/user/themes/quark/fonts/line-awesome.svg?v=4.7.0	C:/Users/styss/Documents/Code/Httrack-projects/grav/localhost/grav/user/themes/quark/fonts/line-awesome3e6e.svg	(from http://localhost/grav/user/themes/quark/css/line-awesome.min.css)
09:03:44	213245/213245	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22340fd-5af9ad4688fc0%22	http://localhost/grav/user/themes/quark/fonts/line-awesome.eot?	C:/Users/styss/Documents/Code/Httrack-projects/grav/localhost/grav/user/themes/quark/fonts/line-awesomed41d.eot	(from http://localhost/grav/user/themes/quark/css/line-awesome.min.css)
09:03:45	18616/18616	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2029%20Nov%202020%2008:03:44%20GMT	http://localhost/grav/de/footer	C:/Users/styss/Documents/Code/Httrack-projects/grav/localhost/grav/de/footer	(from http://localhost/grav/de/footer/)
09:03:47	117372/117372	---M--	200	added ('OK')	font/woff	etag:%221ca7c-5af9ad4688fc0%22	http://localhost/grav/user/themes/quark/fonts/line-awesome.woff?v=4.7.0	C:/Users/styss/Documents/Code/Httrack-projects/grav/localhost/grav/user/themes/quark/fonts/line-awesome3e6e.woff	(from http://localhost/grav/user/themes/quark/css/line-awesome.min.css)
09:03:54	263504/263504	---M--	200	added ('OK')	font/ttf	etag:%2240550-5af9ad4688fc0%22	http://localhost/grav/user/themes/quark/fonts/line-awesome.ttf?v=4.7.0	C:/Users/styss/Documents/Code/Httrack-projects/grav/localhost/grav/user/themes/quark/fonts/line-awesome3e6e.ttf	(from http://localhost/grav/user/themes/quark/css/line-awesome.min.css)
